carte,categorie,question,reponse,difficulte,theme
299,Géographie,Quelle est la capitale de la Sardaigne ?,Cagliari,3,Villes
299,Divertissement,Quel film de Christopher Nolan (2010) met en scène des voleurs qui s'infiltrent dans les rêves ?,Inception,1,Science-fiction
299,Histoire,Par quel massif forestier les divisions blindées allemandes ont-elles percé le front français en mai 1940 ?,Les Ardennes,2,Campagne de France
299,Arts & Littérature,Quel siècle est surnommé en France le « siècle des Lumières » ?,Le XVIIIe siècle,1,Histoire littéraire
299,Sciences & Nature,Quel physiologiste français a publié en 1865 une « Introduction à l'étude de la médecine expérimentale » et défini le « milieu intérieur » ?,Claude Bernard,2,Biologie générale
299,Sports & Loisirs,"Quel attaquant a réussi un triplé en finale de la Coupe du monde 2022, sans pouvoir éviter la défaite de la France ?",Kylian Mbappé,1,Football – Coupe du monde
300,Géographie,Quelle ville fut la capitale du Brésil jusqu'en 1960 ?,Rio de Janeiro,2,Amériques
300,Divertissement,Quel croquemitaine au pull rayé et au gant griffu hante les rêves dans « Les Griffes de la nuit » (1984) ?,Freddy Krueger,1,Horreur
300,Histoire,Quelle famille d'industriels a fait du Creusot un géant de la sidérurgie au XIXe siècle ?,Les Schneider,2,Révolution industrielle
300,Arts & Littérature,"Quel poète a écrit le sonnet « Heureux qui, comme Ulysse, a fait un beau voyage » ?",Joachim du Bellay,2,Poésie
300,Sciences & Nature,"Quel saint, fêté le 8 juin, est associé au dicton annonçant quarante jours de pluie s'il pleut ce jour-là ?",Saint Médard,2,Météorologie
300,Sports & Loisirs,"Quelle technique d'impression artisanale fait passer l'encre à travers un écran tendu, traditionnellement de soie ?",La sérigraphie,2,Loisirs créatifs
301,Géographie,Quel micro-État enclavé en Italie se présente comme la plus ancienne république du monde ?,Saint-Marin,2,Pays
301,Divertissement,Quel pirate au chapeau de paille rêve de devenir le roi des pirates dans « One Piece » ?,Monkey D. Luffy,1,Mangas
301,Histoire,Quel poème épique en vieil anglais raconte le combat d'un héros contre le monstre Grendel ?,Beowulf,3,Culture médiévale
301,Arts & Littérature,Quel vase sacré les chevaliers de la Table ronde partent-ils chercher dans leur grande quête ?,Le Graal,1,Légendes arthuriennes
301,Sciences & Nature,"Quelles cellules de la rétine, très sensibles à la lumière, assurent la vision nocturne ?",Les bâtonnets,2,Sens : la vue
301,Sports & Loisirs,"Comment appelle-t-on les 22 atouts illustrés d'un tarot divinatoire, comme le Bateleur ou la Roue de fortune ?",Les arcanes majeurs,2,Jeux de cartes
302,Géographie,"Quelle grotte de Dordogne, découverte en 1940, est surnommée « la chapelle Sixtine de la préhistoire » ?",Lascaux,1,Sites naturels
302,Divertissement,"Quel est le nom français du clown maléfique de « Ça », adapté du roman de Stephen King ?",Grippe-Sou,2,Horreur
302,Histoire,"Quel nom de code portait le premier essai nucléaire français, réalisé dans le Sahara en février 1960 ?",Gerboise bleue,3,Ve République
302,Arts & Littérature,Quel préfet de la Seine a dirigé les grands travaux de transformation de Paris sous Napoléon III ?,Le baron Haussmann,1,Urbanisme
302,Sciences & Nature,Quel médecin breton a inventé le stéthoscope en 1816 ?,René Laennec,3,Grands scientifiques
302,Sports & Loisirs,Quelle Française a remporté le tournoi de Wimbledon en 2013 ?,Marion Bartoli,1,Tennis – champions
303,Géographie,Quel pays d'Asie centrale a pour capitale Bichkek ?,Le Kirghizistan,3,Asie
303,Divertissement,"Quel animal de compagnie virtuel japonais, logé dans un petit œuf en plastique, a fait fureur à la fin des années 1990 ?",Le Tamagotchi,1,Culture pop
303,Histoire,Quel tsar fonde Saint-Pétersbourg en 1703 ?,Pierre le Grand,1,Russie
303,Arts & Littérature,Quel philosophe autrichien a écrit le « Tractatus logico-philosophicus » ?,Ludwig Wittgenstein,3,Philosophie contemporaine
303,Sciences & Nature,Quel orfèvre de Mayence a mis au point l'imprimerie à caractères mobiles en Europe vers 1450 ?,Johannes Gutenberg,1,Inventeurs
303,Sports & Loisirs,Dans quelle ville du Nord lance-t-on des harengs depuis le balcon de l'hôtel de ville pendant le carnaval ?,Dunkerque,2,Fêtes et traditions
304,Géographie,Quelle ville péruvienne était la capitale de l'Empire inca ?,Cuzco,2,Amériques
304,Divertissement,Quelle cérémonie française récompense chaque année les artistes musicaux depuis 1985 ?,Les Victoires de la musique,1,Récompenses
304,Histoire,"Quelle bataille de 1453, en Gironde, mit fin à la guerre de Cent Ans ?",Castillon,3,Guerre de Cent Ans
304,Arts & Littérature,À quel démon le docteur Faust vend-il son âme ?,Méphistophélès,1,Littérature allemande
304,Sciences & Nature,"Quel muscle de la cuisse, surnommé « couturier », est le plus long du corps humain ?",Le sartorius,3,Muscles
304,Sports & Loisirs,"Quel canal, reliant Toulouse à l'étang de Thau, est un haut lieu du tourisme fluvial classé à l'UNESCO ?",Le canal du Midi,1,Tourisme
305,Géographie,De quelle ville de Meurthe-et-Moselle les Mussipontains sont-ils les habitants ?,Pont-à-Mousson,3,Gentilés
305,Divertissement,Quel ogre vert est le héros d'un film d'animation de DreamWorks sorti en 2001 ?,Shrek,1,Animation
305,Histoire,Quel général américain a déclaré « I shall return » en quittant les Philippines en 1942 ?,Douglas MacArthur,2,Guerre du Pacifique
305,Arts & Littérature,Avec quel peintre français Pablo Picasso a-t-il inventé le cubisme ?,Georges Braque,1,Mouvements artistiques
305,Sciences & Nature,Quel est le plus grand félin du continent américain ?,Le jaguar,2,Mammifères
305,Sports & Loisirs,"Quel fromage auvergnat doit son nom au maréchal de Senneterre, qui l'aurait fait servir à la table de Louis XIV ?",Le saint-nectaire,3,Fromages
306,Géographie,Quel pays africain fait figurer sur son drapeau un bouclier masaï et deux lances croisées ?,Le Kenya,3,Drapeaux
306,Divertissement,Quel animateur a présenté « Le Petit Journal » sur Canal+ avant de lancer « Quotidien » sur TMC ?,Yann Barthès,1,Animateurs
306,Histoire,"Quel président de la Ve République est mort en cours de mandat, en avril 1974 ?",Georges Pompidou,1,Ve République
306,Arts & Littérature,Quel architecte brésilien a conçu les principaux bâtiments de la capitale Brasília ?,Oscar Niemeyer,2,Architectes
306,Sciences & Nature,"Quel élément, de numéro atomique 101, porte le nom du père du tableau périodique ?",Le mendélévium,3,Chimie : éléments
306,Sports & Loisirs,"Quel cocktail cubain associe rhum blanc, citron vert, sucre, menthe fraîche et eau gazeuse ?",Le mojito,1,Cocktails
307,Géographie,Quel pays de la péninsule Arabique a pour capitale Mascate ?,Oman,2,Asie
307,Divertissement,Quel film de Giuseppe Tornatore (1988) raconte l'amitié d'un enfant et d'un projectionniste dans un village sicilien ?,Cinema Paradiso,2,Cinéma européen
307,Histoire,"Depuis la réforme constitutionnelle de 1962, comment le président de la République est-il élu ?",Au suffrage universel direct,1,Ve République
307,Arts & Littérature,"Quel ballet de Léo Delibes, créé en 1870, met en scène une poupée mécanique dont un jeune homme s'éprend ?",Coppélia,3,Danse
307,Sciences & Nature,Combien de bosses possède le dromadaire ?,Une,1,Mammifères
307,Sports & Loisirs,Quel sport collectif sans arbitre oppose deux équipes de sept joueurs qui se passent un disque volant ?,L'ultimate,2,Sports insolites
308,Géographie,Quelle rivière forme une large boucle autour du centre historique de Besançon ?,Le Doubs,2,Fleuves et rivières
308,Divertissement,Quel acteur a reçu l'Oscar du meilleur acteur en 2020 pour le rôle-titre de « Joker » ?,Joaquin Phoenix,2,Oscars
308,Histoire,Quel pays européen a mené des guerres coloniales en Angola et au Mozambique jusqu'en 1974 ?,Le Portugal,2,Décolonisation
308,Arts & Littérature,Sur quelle île Ulysse est-il roi ?,Ithaque,1,Épopées antiques
308,Sciences & Nature,Que stocke principalement le chameau dans sa ou ses bosses ?,De la graisse,2,Mammifères
308,Sports & Loisirs,"Quel bras de mer le capitaine Matthew Webb a-t-il été le premier à traverser à la nage, en 1875 ?",La Manche,2,Natation
309,Géographie,Quel atoll de Polynésie française fut le principal site des essais nucléaires français ?,Mururoa (Moruroa),2,Océanie
309,Divertissement,Quel acteur incarne le surveillant Clément Mathieu dans « Les Choristes » ?,Gérard Jugnot,2,Acteurs
309,Histoire,Quel pays d'Afrique des Grands Lacs a été le théâtre du génocide des Tutsi en 1994 ?,Le Rwanda,1,Monde contemporain
309,Arts & Littérature,Sur quelle île des Cyclades Léto mit-elle au monde le dieu Apollon ?,Délos,3,Mythologie grecque
309,Sciences & Nature,Quelle est la plus grande planète du Système solaire ?,Jupiter,1,Astronomie : planètes
309,Sports & Loisirs,Quel Français a atteint la finale de Roland-Garros en 1988 ?,Henri Leconte,3,Tennis – champions
310,Géographie,Quel monument berlinois surmonté d'un quadrige est devenu le symbole de la réunification allemande ?,La porte de Brandebourg,1,Monuments
310,Divertissement,Dans quel magazine Astérix est-il apparu pour la première fois en 1959 ?,Pilote,3,BD franco-belge
310,Histoire,"Quel pays l'URSS a-t-elle envahi en décembre 1979, s'engageant dans une guerre de près de dix ans ?",L'Afghanistan,1,Guerre froide
310,Arts & Littérature,"Quel chef d'orchestre autrichien a dirigé l'Orchestre philharmonique de Berlin pendant plus de trente ans, jusqu'en 1989 ?",Herbert von Karajan,2,Chefs d'orchestre
310,Sciences & Nature,Quel mathématicien écossais a inventé les logarithmes au début du XVIIe siècle ?,John Napier (Neper),3,Mathématiques
310,Sports & Loisirs,Quel grimpeur français a remporté à sept reprises le maillot à pois du Tour de France ?,Richard Virenque,1,Cyclisme – champions
311,Géographie,"Quelle cité antique fondée par les Phéniciens, rivale de Rome, se trouve aux portes de Tunis ?",Carthage,1,Monuments
311,Divertissement,"Quel acteur incarne Tom, le gérant du camping de la série de TF1 « Camping Paradis » ?",Laurent Ournac,2,Séries françaises
311,Histoire,Quel mot espagnol désigne l'exode de près d'un demi-million de républicains vers la France en 1939 ?,La Retirada,3,Guerre d'Espagne
311,Arts & Littérature,"Quel oiseau marin, « prince des nuées » moqué par les marins, donne son titre à un poème de Baudelaire ?",L'albatros,2,Poésie
311,Sciences & Nature,Comment appelle-t-on un objet céleste si dense que même la lumière ne peut s'en échapper ?,Un trou noir,1,Astronomie : galaxies
311,Sports & Loisirs,Dans quel stade du sud-ouest de Londres le XV de la Rose joue-t-il ses matchs à domicile ?,Twickenham,1,Rugby – stades
312,Géographie,"Quel État d'Océanie, ancien condominium franco-britannique, s'appelait les Nouvelles-Hébrides ?",Le Vanuatu,2,Océanie
312,Divertissement,Quel jeu télévisé européen opposait des villes de plusieurs pays dans des épreuves loufoques et costumées ?,Jeux sans frontières,2,Jeux télé
312,Histoire,"Comment appelle-t-on le départ de Mahomet pour Médine en 622, point de départ du calendrier musulman ?",L'hégire,1,Monde musulman médiéval
312,Arts & Littérature,"Dans quelle pièce de Shakespeare un vieux roi partage-t-il son royaume entre ses filles Goneril, Régane et Cordelia ?",Le Roi Lear,2,Littérature anglaise
312,Sciences & Nature,Quel rapace à tête blanche est l'emblème national des États-Unis ?,Le pygargue à tête blanche,2,Oiseaux
312,Sports & Loisirs,Quelle pièce montée de choux caramélisés est traditionnellement servie aux mariages en France ?,Le croquembouche,1,Pâtisserie
313,Géographie,Comment appelle-t-on les grandes plaines herbeuses d'Argentine ?,La pampa,1,Climats et milieux
313,Divertissement,Quel groupe punk londonien a sorti l'album « London Calling » ?,The Clash,3,Punk
313,Histoire,"Quel est le nom du dernier empereur romain d'Occident, déposé en 476 ?",Romulus Augustule,2,Rome antique
313,Arts & Littérature,Quel écrivain américain a écrit « Les Aventures de Tom Sawyer » ?,Mark Twain,1,Littérature américaine
313,Sciences & Nature,"Quelle civilisation antique utilisait un système en base 60, dont héritent nos minutes et nos secondes ?",Les Babyloniens (Sumériens),2,Mathématiques
313,Sports & Loisirs,Quelle ville savoyarde a organisé les Jeux olympiques d'hiver de 1992 ?,Albertville,1,Villes olympiques
314,Géographie,Dans quelle capitale africaine le Nil Blanc et le Nil Bleu se rejoignent-ils ?,Khartoum,2,Fleuves
314,Divertissement,Quel acteur incarne l'écuyer Jacquouille la Fripouille dans « Les Visiteurs » (1993) ?,Christian Clavier,1,Comédies françaises
314,Histoire,Quel programme de défense antimissile de Ronald Reagan a été surnommé « guerre des étoiles » ?,L'Initiative de défense stratégique,3,Guerre froide
314,Arts & Littérature,Comment s'appellent les guerrières qui choisissent les héros morts au combat pour les mener auprès d'Odin ?,Les Valkyries,1,Mythologie nordique
314,Sciences & Nature,Comment appelle-t-on le petit du lièvre ?,Le levraut,2,Noms des petits
314,Sports & Loisirs,"Dans quel parc du Queens, à New York, se dispute l'US Open ?",Flushing Meadows,2,Tennis – stades
315,Géographie,"Quel parc créé en 1872, situé principalement dans le Wyoming, est considéré comme le premier parc national du monde ?",Yellowstone,2,Amériques
315,Divertissement,Quel cinéaste et acteur français a créé le personnage lunaire de Monsieur Hulot ?,Jacques Tati,2,Réalisateurs
315,Histoire,Quel duc de Normandie conquit l'Angleterre en 1066 ?,Guillaume le Conquérant,1,Angleterre médiévale
315,Arts & Littérature,"Quel architecte a conçu la Fondation Louis Vuitton au bois de Boulogne, avec ses voiles de verre ?",Frank Gehry,2,Architectes
315,Sciences & Nature,"Quelle substance du cacao, proche de la caféine, rend le chocolat toxique pour les chiens ?",La théobromine,3,Nutrition
315,Sports & Loisirs,"Quelle ville est célèbre pour ses cannelés, petits gâteaux caramélisés au rhum et à la vanille ?",Bordeaux,1,Pâtisserie
316,Géographie,"Quel lac des Balkans, l'un des plus anciens d'Europe, a donné son nom à une ville de Macédoine du Nord classée à l'Unesco ?",Le lac d'Ohrid,3,Lacs
316,Divertissement,Quel compositeur américain a écrit la musique de la saga « Star Wars » ?,John Williams,1,Musiques de films
316,Histoire,Dans quelle université de la banlieue parisienne est né le « mouvement du 22 Mars » en 1968 ?,Nanterre,2,Mai 68
316,Arts & Littérature,Quel dieu grec règne sur l'Olympe et manie la foudre ?,Zeus,1,Mythologie grecque
316,Sciences & Nature,"Quel appareil, branché en série dans un circuit, mesure l'intensité du courant électrique ?",L'ampèremètre,1,Unités et mesures
316,Sports & Loisirs,"Quel grimpeur luxembourgeois, surnommé « l'Ange de la montagne », a remporté le Tour 1958 ?",Charly Gaul,3,Cyclisme – champions
317,Géographie,Sur quelle péninsule se trouve la partie continentale du Danemark ?,Le Jutland,2,Pays
317,Divertissement,De quelle île des Caraïbes le reggae est-il originaire ?,La Jamaïque,1,Reggae
317,Histoire,Quel président américain a présenté en janvier 1918 un programme de paix en « Quatorze Points » ?,Woodrow Wilson,2,Traités de paix
317,Arts & Littérature,Quel photographe français a documenté les rues et les boutiques du vieux Paris au début du XXe siècle ?,Eugène Atget,3,Photographie
317,Sciences & Nature,Quel moine a découvert les lois de l'hérédité en croisant des petits pois ?,Gregor Mendel,1,Génétique
317,Sports & Loisirs,"Quel oiseau, symbole de longévité, est la figure la plus célèbre de l'origami japonais ?",La grue,2,Loisirs créatifs
318,Géographie,Que signifient les lettres CH utilisées pour désigner la Suisse ?,Confoederatio Helvetica,2,Suisse
318,Divertissement,Quel homme politique surnommé « le Tigre » a créé les brigades mobiles qui ont inspiré la série « Les Brigades du Tigre » ?,Georges Clemenceau,2,Séries françaises
318,Histoire,En quelle année les pièces et billets en euros ont-ils été mis en circulation ?,2002,1,Construction européenne
318,Arts & Littérature,"Quel héros de Jules Verne, courrier du tsar, traverse la Sibérie ?",Michel Strogoff,2,Personnages
318,Sciences & Nature,Comment appelle-t-on le petit de la perdrix ?,Le perdreau,2,Noms des petits
318,Sports & Loisirs,"Quelle discipline équestre olympique, parfois décrite comme un ballet, consiste à enchaîner des figures imposées ?",Le dressage,1,Équitation
319,Géographie,Quelle ville du Doubs a vu naître Victor Hugo en 1802 ?,Besançon,2,Villes
319,Divertissement,Quelle émission s'achevait par « les décors sont de Roger Harth et les costumes de Donald Cardwell » ?,Au théâtre ce soir,2,Émissions
319,Histoire,Quel ghetto s'est soulevé contre les nazis en avril 1943 ?,Le ghetto de Varsovie,2,Shoah
319,Arts & Littérature,"Quel compositeur italien a écrit l'opéra « Le Barbier de Séville », créé à Rome en 1816 ?",Gioachino Rossini,1,Opéra
319,Sciences & Nature,Quel mathématicien suisse a résolu en 1736 le problème des sept ponts de Königsberg ?,Leonhard Euler,2,Mathématiques
319,Sports & Loisirs,Combien de pions chaque joueur possède-t-il au début d'une partie d'échecs ?,Huit,1,Échecs
320,Géographie,Quel est le point culminant de l'Afrique ?,Le Kilimandjaro,1,Montagnes
320,Divertissement,Quel ancien joueur de baseball devient employé de maison chez Angela dans « Madame est servie » ?,Tony Micelli,3,Sitcoms
320,Histoire,Quels jardins de Babylone figuraient parmi les sept merveilles du monde antique ?,Les jardins suspendus,1,Mésopotamie et Proche-Orient
320,Arts & Littérature,"Comment s'appelle le jeune héros de « Sans famille », qui parcourt la France avec Vitalis ?",Rémi,2,Littérature jeunesse
320,Sciences & Nature,"Quel vent chaud et sec descend les versants des Alpes, notamment en Suisse et en Autriche ?",Le foehn,3,Météorologie
320,Sports & Loisirs,Quelle boisson alcoolisée japonaise est obtenue par fermentation du riz ?,Le saké,1,Spiritueux
321,Géographie,Quel est le plus long fleuve d'Irlande ?,Le Shannon,2,Fleuves
321,Divertissement,Quel acteur incarne Vinz dans « La Haine » (1995) ?,Vincent Cassel,2,Acteurs
321,Histoire,Quel empereur aztèque accueille Hernán Cortés dans sa capitale en 1519 ?,Moctezuma II,2,Conquête de l'Amérique
321,Arts & Littérature,Quel ingénieur a donné son nom à la tour construite pour l'Exposition universelle de 1889 ?,Gustave Eiffel,1,Architecture
321,Sciences & Nature,"Quel psychologue américain a mené à Yale, à partir de 1961, des expériences sur la soumission à l'autorité avec de faux électrochocs ?",Stanley Milgram,2,Psychologie
321,Sports & Loisirs,Quelle ville de l'ex-Yougoslavie a accueilli les Jeux olympiques d'hiver de 1984 ?,Sarajevo,2,Villes olympiques
322,Géographie,Quel nom porte le long littoral sableux et rectiligne de la Gironde et des Landes ?,La côte d'Argent,2,Côtes
322,Divertissement,Quelle actrice joue Dorothy dans « Le Magicien d'Oz » (1939) ?,Judy Garland,1,Classiques hollywoodiens
322,Histoire,Quel roi de Suède intervient dans la guerre de Trente Ans et meurt à la bataille de Lützen en 1632 ?,Gustave II Adolphe,3,Guerre de Trente Ans
322,Arts & Littérature,"Quel savant dur d'oreille, inventeur du sous-marin requin, accompagne Tintin ?",Le professeur Tournesol,1,Bande dessinée
322,Sciences & Nature,"Hormis l'ornithorynque, quel mammifère couvert de piquants pond des œufs ?",L'échidné,2,Mammifères
322,Sports & Loisirs,"Quel compositeur français du XVIIIe siècle, meilleur joueur d'échecs de son temps, affirmait que « les pions sont l'âme des échecs » ?",Philidor,3,Échecs
323,Géographie,Comment appelle-t-on la chaîne de montagnes sous-marine où se forme la nouvelle croûte océanique ?,Une dorsale océanique,2,Plaques et séismes
323,Divertissement,Avec quelle chanson ABBA a-t-il remporté l'Eurovision en 1974 ?,Waterloo,1,Eurovision
323,Histoire,"Quel résistant d'origine arménienne, fusillé en 1944, est la figure centrale de l'« Affiche rouge » ?",Missak Manouchian,2,Résistance
323,Arts & Littérature,"Quelle danseuse américaine, pionnière de la danse moderne, est morte à Nice en 1927, étranglée par son écharpe ?",Isadora Duncan,2,Danse
323,Sciences & Nature,Dans quelle constellation se trouve l'étoile Polaire ?,La Petite Ourse,2,Astronomie : constellations
323,Sports & Loisirs,Comment appelle-t-on un penalty tiré en pichenette au centre du but alors que le gardien plonge ?,Une panenka,2,Football – vocabulaire
324,Géographie,Quel détroit sépare l'Espagne du Maroc ?,Le détroit de Gibraltar,1,Mers et détroits
324,Divertissement,"Quel producteur italien, pionnier du disco électronique, a coproduit « I Feel Love » ?",Giorgio Moroder,3,Disco
324,Histoire,En quelle année est votée en France la loi de séparation des Églises et de l'État ?,1905,1,IIIe République
324,Arts & Littérature,"Quel mot, forgé au Québec, est recommandé en français pour remplacer « e-mail » ?",Courriel,2,Francophonie
324,Sciences & Nature,Quel magistrat toulousain a laissé un « dernier théorème » resté sans démonstration pendant plus de 350 ans ?,Pierre de Fermat,2,Mathématiques
324,Sports & Loisirs,Quel nom porte le trophée remis à la franchise championne NBA ?,Le trophée Larry O'Brien,3,Basket – compétitions
325,Géographie,Quelle est la capitale de l'Éthiopie ?,Addis-Abeba,1,Capitales
325,Divertissement,Comment s'appelle le rat qui rêve de devenir chef cuisinier à Paris dans « Ratatouille » (2007) ?,Rémy,2,Animation
325,Histoire,Quel sénateur américain a mené une virulente chasse aux communistes au début des années 1950 ?,Joseph McCarthy,2,États-Unis
325,Arts & Littérature,Quel écrivain marocain a obtenu le prix Goncourt en 1987 pour « La Nuit sacrée » ?,Tahar Ben Jelloun,2,Prix Goncourt
325,Sciences & Nature,Comment appelle-t-on la peur irrationnelle des araignées ?,L'arachnophobie,1,Psychologie
325,Sports & Loisirs,"Dans quelle petite ville espagnole se déroule chaque été la Tomatina, gigantesque bataille de tomates ?",Buñol,3,Fêtes et traditions
326,Géographie,Quel département français porte le numéro 69 ?,Le Rhône,2,Départements
326,Divertissement,"Dans « Le Corniaud » (1965), quelle voiture de Bourvil part en morceaux après un accrochage avec Louis de Funès ?",Une 2 CV Citroën,2,Comédies françaises
326,Histoire,Comment appelle-t-on la guerre de 1756 à 1763 qui oppose notamment la France à la Grande-Bretagne ?,La guerre de Sept Ans,1,Guerre de Sept Ans
326,Arts & Littérature,Quel compositeur finlandais a écrit le poème symphonique patriotique « Finlandia » ?,Jean Sibelius,2,Compositeurs
326,Sciences & Nature,Quels petits organites fabriquent les protéines dans la cellule ?,Les ribosomes,2,Cellule
326,Sports & Loisirs,"Quel sport de glisse, né à Hawaï, consiste à chevaucher les vagues debout sur une planche ?",Le surf,1,Sports insolites
327,Géographie,"Quel fleuve, où Jésus aurait été baptisé, se jette dans la mer Morte ?",Le Jourdain,1,Fleuves
327,Divertissement,"Quelle émission des années 1980 était présentée par un chat, Groucha, et une autruche, Lola ?",Téléchat,3,Émissions jeunesse
327,Histoire,Quel archevêque de Canterbury fut assassiné dans sa cathédrale en 1170 ?,Thomas Becket,2,Angleterre médiévale
327,Arts & Littérature,"Qui a écrit « Germinal », roman sur la vie des mineurs du Nord ?",Émile Zola,1,Romans
327,Sciences & Nature,Quel naturaliste français a proposé en 1809 une théorie de l'évolution fondée sur l'hérédité des caractères acquis ?,Lamarck,1,Évolution
327,Sports & Loisirs,Quelle Française a remporté le simple dames de Roland-Garros en 1967 ?,Françoise Dürr,3,Tennis – champions
328,Géographie,Quelle ville iranienne est célèbre pour sa grande place Naqsh-e Jahan et ses mosquées aux coupoles bleues ?,Ispahan,3,Villes
328,Divertissement,Quel singe géant escalade l'Empire State Building dans un film de 1933 ?,King Kong,1,Classiques hollywoodiens
328,Histoire,Quel ingénieur écossais perfectionne la machine à vapeur dans la seconde moitié du XVIIIe siècle ?,James Watt,1,Révolution industrielle
328,Arts & Littérature,"Quel poète andalou, assassiné en 1936, a écrit « La Maison de Bernarda Alba » ?",Federico García Lorca,2,Littérature espagnole
328,Sciences & Nature,Quel psychiatre allemand a décrit en 1906 la forme de démence qui porte son nom ?,Alois Alzheimer,2,Grands médecins
328,Sports & Loisirs,"Au bowling, comment appelle-t-on le fait de renverser les dix quilles en utilisant les deux lancers d'un jeu ?",Un spare,2,Vocabulaire et règles
329,Géographie,Quelle péninsule égyptienne abrite le mont Moïse et le monastère Sainte-Catherine ?,Le Sinaï,1,Montagnes
329,Divertissement,Quel chanteur québécois à la voix rauque incarnait Quasimodo dans « Notre-Dame de Paris » en 1998 ?,Garou,2,Comédies musicales
329,Histoire,"Quel bâtiment berlinois, incendié en février 1933, servit de prétexte à la répression des communistes allemands ?",Le Reichstag,2,Allemagne nazie
329,Arts & Littérature,"Comment appelle-t-on les trois divinités grecques qui filent, déroulent et coupent le fil de la vie ?",Les Moires,3,Mythologie grecque
329,Sciences & Nature,"Quel minéral, apporté notamment par la viande rouge et les lentilles, est indispensable à la fabrication de l'hémoglobine ?",Le fer,1,Nutrition
329,Sports & Loisirs,Quel col pyrénéen de 2 115 m relie Barèges à La Mongie ?,Le Tourmalet,2,Cyclisme – Tour de France
330,Géographie,Comment appelle-t-on les terres gagnées sur la mer et protégées par des digues aux Pays-Bas ?,Les polders,1,Paysages
330,Divertissement,Quel chef d'orchestre français a connu un numéro un aux États-Unis en 1968 avec « L'amour est bleu » ?,Paul Mauriat,3,Célébrités de la musique
330,Histoire,Quelle région du nord-est de la Chine le Japon envahit-il en 1931 ?,La Mandchourie,2,Asie
330,Arts & Littérature,Comment s'appelle le sorcier qui veut capturer les Schtroumpfs ?,Gargamel,1,Bande dessinée
330,Sciences & Nature,Comment s'appellent les deux petits satellites de Mars ?,Phobos et Déimos,2,Astronomie : planètes
330,Sports & Loisirs,À quelle grande ville portuaire associe-t-on traditionnellement la bouillabaisse ?,Marseille,1,Cuisine régionale
331,Géographie,Quel fleuve côtier normand traverse Caen ?,L'Orne,2,Fleuves et rivières
331,Divertissement,Quel chanteur et poète canadien a écrit « Hallelujah » en 1984 ?,Leonard Cohen,2,Folk-rock
331,Histoire,À quelle heure le cessez-le-feu du 11 novembre 1918 est-il entré en vigueur ?,11 heures,2,Première Guerre mondiale
331,Arts & Littérature,Quel peintre florentin a représenté une déesse debout sur une coquille dans « La Naissance de Vénus » ?,Sandro Botticelli,1,Renaissance
331,Sciences & Nature,Comment appelle-t-on les extrémités des chromosomes qui raccourcissent à chaque division cellulaire ?,Les télomères,2,Génétique
331,Sports & Loisirs,Quel club de rugby joue au stade Ernest-Wallon ?,Le Stade toulousain,2,Rugby – stades
332,Géographie,Quel est le plus vaste pays d'Océanie après l'Australie ?,La Papouasie-Nouvelle-Guinée,2,Océanie
332,Divertissement,"Quel réalisateur britannique, auteur de « Psychose », était surnommé « le maître du suspense » ?",Alfred Hitchcock,1,Réalisateurs
332,Histoire,Dans quel village de la Manche un parachutiste américain est-il resté accroché au clocher de l'église le 6 juin 1944 ?,Sainte-Mère-Église,2,Débarquement
332,Arts & Littérature,Dans quelle ville de Bavière se tient chaque été un festival consacré aux opéras de Wagner ?,Bayreuth,2,Opéra
332,Sciences & Nature,Quel chercheur américain a mis au point le vaccin oral contre la poliomyélite ?,Albert Sabin,3,Vaccins
332,Sports & Loisirs,Combien de joueurs de chaque équipe se trouvent sur le terrain lors d'un match de volley-ball en salle ?,Six,1,Vocabulaire et règles
333,Géographie,Quelle ancienne prison fédérale occupe une île de la baie de San Francisco ?,Alcatraz,1,Grandes villes
333,Divertissement,"Quel volet du « Seigneur des anneaux » a remporté onze Oscars en 2004, dont celui du meilleur film ?",Le Retour du roi,2,Oscars
333,Histoire,En quelle année la loi suspendant le service militaire obligatoire en France a-t-elle été votée ?,1997,3,Ve République
333,Arts & Littérature,Quel écrivain écossais a écrit « L'Île au trésor » ?,Robert Louis Stevenson,1,Littérature anglaise
333,Sciences & Nature,Quelle molécule est le principe actif de l'aspirine ?,L'acide acétylsalicylique,2,Médicaments
333,Sports & Loisirs,Quel poste occupe le joueur qui porte le numéro 9 au rugby à XV ?,Demi de mêlée,2,Rugby – règles
334,Géographie,Quelle ville de Moselle accueille depuis 2010 une antenne du Centre Pompidou ?,Metz,2,Villes
334,Divertissement,Quel groupe de rap de Seine-Saint-Denis était formé de JoeyStarr et Kool Shen ?,Suprême NTM,1,Rap français
334,Histoire,Quel chancelier allemand a signé avec de Gaulle le traité de l'Élysée en 1963 ?,Konrad Adenauer,2,Construction européenne
334,Arts & Littérature,"Quel est le véritable nom du comte de Lautréamont, auteur des « Chants de Maldoror » ?",Isidore Ducasse,3,Poésie
334,Sciences & Nature,"Quel cétacé noir et blanc, grand prédateur des mers, est aussi appelé « épaulard » ?",L'orque,1,Poissons et animaux marins
334,Sports & Loisirs,Quel handballeur réunionnais aux célèbres dreadlocks a été élu meilleur joueur du monde en 1995 ?,Jackson Richardson,1,Handball – champions
335,Géographie,Quelle est la capitale du Niger ?,Niamey,2,Capitales
